title,description,price,restaurant_id,category_id
LASAN NI CHATANI ,LASAN NI CHATANI ,80,6410948f50e487ab6de500fa,641072abcdba633c905fa0ea
SEV TAMETA,SEV TAMETA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
MIX SABJI ,MIX SABJI ,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
DAL FRY,DAL FRY,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
CHANA MASALA,CHANA MASALA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
VATANA TAMMETA,VATANA TAMMETA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
VATANA BATAKA,VATANA BATAKA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
SUKI BHAJI,SUKI BHAJI,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
LASANIYA BATAKA,LASANIYA BATAKA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
DUNGLI BATAKA RASAVALA,DUNGLI BATAKA RASAVALA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
DAHINI RAYTU,DAHINI RAYTU,80,6410948f50e487ab6de500fa,64117342c62a0493e3870b9f
SEV DUNGLI,SEV DUNGLI,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
SEV MASALA,SEV MASALA,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
KOBIJ,KOBIJ,80,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
"FIX THALI ( 2 SABJI, 5 ROTLI)","FIX THALI ( 2 SABJI, 5 ROTLI)",100,6410948f50e487ab6de500fa,64108b3f50e487ab6de4fbdd
ROTLI,ROTLI,10,6410948f50e487ab6de500fa,64107306cdba633c905fa105
ROTLO,ROTLO,20,6410948f50e487ab6de500fa,64107306cdba633c905fa105
VAGHAARELO ROTLO,VAGHAARELO ROTLO,70,6410948f50e487ab6de500fa,64107306cdba633c905fa105
ROASTED PAPAD,ROASTED PAPAD,12,64109e8a0111c288d05ac817,6410748acdba633c905fa153
FRY PAPAD,FRY PAPAD,25,64109e8a0111c288d05ac817,6410748acdba633c905fa153
MASALA PAPAD,MASALA PAPAD,30,64109e8a0111c288d05ac817,6410748acdba633c905fa153
GREEN SALAD,GREEN SALAD,35,64109e8a0111c288d05ac817,64117342c62a0493e3870b9f
TAMETO SALAD,TAMETO SALAD,30,64109e8a0111c288d05ac817,64117342c62a0493e3870b9f
SPE. LASAN NI CHATANI,SPE. LASAN NI CHATANI,85,64109e8a0111c288d05ac817,641072abcdba633c905fa0ea
MIX SABJI,MIX SABJI,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SEV TAMATA,SEV TAMATA,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
CHANA MASALA (CHHOLE),CHANA MASALA (CHHOLE),70,64109e8a0111c288d05ac817,6411923298868d4c3a136d46
CHANA MASALA (DESI),CHANA MASALA (DESI),60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
DAHI NU RAYTU,DAHI NU RAYTU,60,64109e8a0111c288d05ac817,64117342c62a0493e3870b9f
TAMETA CHATANI,TAMETA CHATANI,75,64109e8a0111c288d05ac817,641072abcdba633c905fa0ea
TAMETA VATANA,TAMETA VATANA,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
BATAKA VATANA,BATAKA VATANA,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SUKIBHAJI,SUKIBHAJI,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SEV DUNGALI,SEV DUNGALI,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SEV MASALA,SEV MASALA,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SEV MASALA DUSH MA,SEV MASALA DUSH MA,90,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
DAL FRY,DAL FRY,60,64109e8a0111c288d05ac817,641192e598868d4c3a137158
DAL TADAKA,DAL TADAKA,70,64109e8a0111c288d05ac817,641192e598868d4c3a137158
FULAVAR TAMETA,FULAVAR TAMETA,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
KOBIJ,KOBIJ,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
BHINDI MASALA,BHINDI MASALA,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
BHINDI FRY,BHINDI FRY,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
DAHI BHINDI,DAHI BHINDI,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
GAVAL FALI,GAVAL FALI,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
BATAKA DUNGALI,BATAKA DUNGALI,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
BATAKA RASAVALA,BATAKA RASAVALA,60,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
LASANIYA BATAKA,LASANIYA BATAKA,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
MAG MASALA,MAG MASALA,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
PLAIN PALAK,PLAIN PALAK,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
DAL PALAK,DAL PALAK,70,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
ALOO PALAK,ALOO PALAK,75,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
SPE.KULDEVI,SPE.KULDEVI,150,64109e8a0111c288d05ac817,64108b3f50e487ab6de4fbdd
PANEER TIKA MASALA,PANEER TIKA MASALA,130,64109e8a0111c288d05ac817,641192e598868d4c3a137158
KAJUKARI,KAJUKARI,140,64109e8a0111c288d05ac817,641192e598868d4c3a137158
KHOYA KAJU,KHOYA KAJU,140,64109e8a0111c288d05ac817,641192e598868d4c3a137158
KAJU PANEER,KAJU PANEER,150,64109e8a0111c288d05ac817,641192e598868d4c3a137158
PANEER BHUJI,PANEER BHUJI,140,64109e8a0111c288d05ac817,641192e598868d4c3a137158
SAHI PANEER,SAHI PANEER,120,64109e8a0111c288d05ac817,641192e598868d4c3a137158
MALAI KOPTA,MALAI KOfTA,140,64109e8a0111c288d05ac817,641192e598868d4c3a137158
PALAK PANEER,PALAK PANEER,105,64109e8a0111c288d05ac817,641192e598868d4c3a137158
